x,y,z,r_hat_vox,theta_deg,winding_ordinal,dk_to_nearest_measured,ct_brightness
1793.2,1870.7,8976,56.1,36.0,2,1,130
1714.1,1782.5,10640,60.8,36.0,2,1,182
1879.8,2026.1,2832,59.3,42.0,2,1,157
1909.0,2047.0,2960,67.5,42.0,2,1,170
1977.2,2072.3,3664,51.0,42.0,2,1,139
2009.3,2072.1,7568,38.0,42.0,2,1,162
1684.9,1906.9,9872,41.1,42.0,2,1,172
1703.8,1781.7,10640,52.4,42.0,2,1,156
1676.5,1770.8,10704,39.9,42.0,2,1,160
1976.5,2079.5,3664,55.6,48.0,2,1,115
2002.5,2102.1,4880,80.2,48.0,2,1,119
2015.0,2107.3,5072,67.6,48.0,2,1,163
2011.8,2104.2,7504,61.3,48.0,2,2,201
2006.4,2074.9,7568,37.9,48.0,2,1,135
1641.7,1882.0,10064,53.7,48.0,2,1,215
1708.6,1795.2,10640,65.2,48.0,2,1,189
2403.6,966.4,11152,35.5,48.0,2,1,180
2022.4,2152.6,3664,141.4,54.0,2,1,131
1667.6,1890.7,10128,74.2,54.0,2,1,200
1706.1,1869.8,10192,49.5,54.0,2,1,160
2401.1,969.3,11152,36.3,54.0,2,1,132
1941.9,2064.8,4816,29.4,60.0,2,1,146
1680.9,1925.4,9872,53.2,60.0,2,1,164
1672.6,1903.4,9936,38.4,60.0,2,1,173
2033.6,1175.1,11024,57.5,60.0,2,1,158
1652.9,1957.1,2320,74.0,66.0,2,1,150
1970.6,2095.4,4112,60.5,66.0,2,1,188
1669.9,1907.3,9936,40.6,66.0,2,1,198
1842.9,2026.4,2768,39.3,72.0,2,1,152
1867.2,2073.4,2896,72.6,72.0,2,1,130
1877.6,2079.9,3408,39.5,72.0,2,1,137
1962.7,2094.0,3984,64.5,72.0,2,1,120
1964.6,2097.5,4112,60.3,72.0,2,1,145
1968.8,2104.0,4880,64.7,72.0,2,2,135
1710.7,1952.0,9680,61.3,72.0,2,1,156
1630.6,1918.4,10064,80.3,72.0,2,1,255
2112.9,1060.0,11088,47.1,72.0,2,1,168
1636.2,1952.3,2320,64.2,78.0,2,1,136
1900.1,2093.6,4624,39.5,78.0,2,1,114
1704.6,1953.9,9680,61.6,78.0,2,1,163
1634.7,1881.3,10128,51.8,78.0,2,1,180
1673.3,1786.1,10640,40.3,78.0,2,1,163
1897.9,1485.6,10896,54.0,78.0,2,1,112
1837.3,2051.7,2768,63.0,84.0,2,1,136
1927.6,2050.5,3792,31.2,84.0,2,1,115
1954.1,2092.4,4880,50.2,84.0,2,1,115
1633.0,1917.2,10128,87.0,84.0,2,1,167
1668.8,1783.8,10640,37.3,84.0,2,1,165
1929.6,1308.1,10960,58.9,84.0,2,1,164
1579.1,1877.6,1232,56.3,90.0,2,1,147
1948.8,2082.0,4880,39.6,90.0,2,1,107
1624.0,1915.8,10128,85.1,90.0,2,1,168
1646.9,1790.7,10704,46.7,90.0,2,1,161
1724.1,1694.8,10768,43.8,90.0,2,1,172
1912.8,2098.0,4752,55.3,96.0,2,1,125
1918.4,1297.2,10960,48.0,96.0,2,1,162
1577.6,1761.5,1616,66.6,102.0,2,1,158
1834.1,2054.7,2896,51.5,102.0,2,1,115
1859.8,2048.3,3024,29.8,102.0,2,1,150
1846.8,2093.9,3344,59.8,102.0,2,1,143
1915.4,2108.1,3600,81.9,102.0,2,1,108
1920.1,2088.9,4176,39.0,102.0,2,1,122
1913.5,1296.4,10960,47.9,102.0,2,1,160
1570.7,1760.4,1616,67.2,108.0,2,1,159
1830.6,2048.0,2896,45.8,108.0,2,1,160
1915.1,2091.1,4176,42.4,108.0,2,1,109
1925.6,2113.9,4880,75.1,108.0,2,1,163
1943.1,2220.6,6864,50.1,108.0,2,1,132
1641.0,1908.4,9936,40.1,108.0,2,1,241
1909.6,1292.1,10960,44.7,108.0,2,1,138
1897.8,2088.6,3536,76.3,114.0,2,1,147
1900.0,2134.9,3920,119.2,114.0,2,1,156
1925.1,2072.3,3984,43.4,114.0,2,1,134
1933.5,2162.6,5264,86.5,114.0,2,1,132
1931.8,2181.2,5328,100.0,114.0,2,1,121
1943.1,2207.6,6864,37.9,114.0,2,1,140
1860.2,1980.1,8016,47.5,114.0,2,1,153
1640.4,1899.4,9936,32.0,114.0,2,1,176
1578.8,1917.2,10000,73.1,114.0,2,1,210
1650.4,1779.2,10640,35.6,114.0,2,1,182
1528.2,1909.4,1232,101.7,120.0,2,1,181
1937.7,2209.1,6864,41.7,120.0,2,1,141
1692.1,1947.0,9552,51.5,120.0,2,1,162
1636.8,1898.9,9936,33.2,120.0,2,1,200
1580.7,1905.5,10128,86.4,120.0,2,1,161
1646.8,1778.1,10640,36.2,120.0,2,1,160
1558.5,1825.1,1296,65.2,126.0,2,2,104
1631.8,1910.3,9872,38.3,126.0,2,1,164
1551.0,1917.4,10064,93.2,126.0,2,2,144
1558.5,1920.8,10128,111.4,126.0,2,1,172
1643.0,1776.8,10640,37.2,126.0,2,1,173
1551.6,1822.6,1296,67.6,132.0,2,1,202
1802.0,2087.8,3088,60.6,132.0,2,1,129
1825.5,2057.7,3280,30.1,132.0,2,1,129
1663.9,1962.3,9552,80.6,132.0,2,1,131
1639.9,1774.5,10640,37.4,132.0,2,1,169
1496.2,1909.3,1168,66.3,138.0,2,1,204
1831.0,2109.8,4624,81.9,138.0,2,1,122
1900.8,2063.1,4816,35.5,138.0,2,1,153
1926.8,2145.5,7312,54.4,138.0,2,1,212
1661.6,1953.0,9552,75.6,138.0,2,1,179
1563.2,1891.2,10000,60.9,138.0,2,2,209
1831.6,2044.1,3024,42.5,144.0,2,2,145
1729.3,2125.0,3088,140.0,144.0,2,1,172
1870.0,2077.2,4432,56.4,144.0,2,1,163
1888.6,2116.1,5072,100.4,144.0,2,1,135
1922.6,2118.7,5200,74.8,144.0,2,1,167
1838.2,1966.7,8016,51.1,144.0,2,1,164
1822.1,2044.5,3024,50.6,150.0,2,1,158
1910.6,2060.5,4112,40.8,150.0,2,1,145
1950.0,2093.8,5200,38.3,150.0,2,1,250
1923.8,2135.4,5520,48.9,150.0,2,1,104
1901.5,2174.0,7056,50.7,150.0,2,1,137
1728.3,1935.6,9360,58.1,150.0,2,1,150
1520.3,1901.4,10000,101.9,150.0,2,1,160
1512.8,1727.5,1680,76.2,156.0,2,1,143
1528.6,1858.7,2064,63.2,156.0,2,1,133
1788.0,2044.9,3152,63.4,156.0,2,1,118
1887.9,2053.5,4304,35.0,156.0,2,1,143
1764.9,2105.2,4560,122.7,156.0,2,1,106
1923.5,2142.7,5648,65.5,156.0,2,1,121
1620.8,1766.4,10640,48.3,156.0,2,1,146
1655.0,1681.8,10768,75.6,156.0,2,1,196
1558.4,1736.1,1424,53.5,162.0,2,1,174
1570.7,1738.1,2000,35.7,162.0,2,1,143
1732.8,2078.4,3088,115.4,162.0,2,1,139
1913.5,2050.7,4112,34.1,162.0,2,1,138
1886.6,2064.3,4176,43.7,162.0,2,1,152
1842.8,2078.8,4688,56.6,162.0,2,1,142
1920.2,2185.4,6864,40.3,162.0,2,1,107
1592.4,1890.0,9936,64.2,162.0,2,1,174
1520.0,1899.2,2256,87.6,168.0,2,1,172
1771.5,2034.9,3152,76.0,168.0,2,1,112
1896.4,2028.5,3728,48.7,168.0,2,1,141
1886.8,2114.3,5392,87.9,168.0,2,1,124
1614.3,1887.8,9872,40.9,168.0,2,1,175
1535.9,1865.9,10000,74.3,168.0,2,1,157
1527.7,1733.8,1360,79.3,174.0,2,1,206
1579.0,1894.2,2320,44.0,174.0,2,1,112
1712.4,1967.3,2512,47.4,174.0,2,1,151
1785.8,2048.7,3088,57.1,174.0,2,2,164
1886.6,2032.8,3600,46.0,174.0,2,2,137
1924.7,2088.3,5264,44.3,174.0,2,1,146
1761.3,1818.5,9040,44.9,174.0,2,1,152
1539.9,1696.4,1616,51.5,180.0,2,1,155
1688.2,1962.4,2512,71.3,180.0,2,1,158
1823.4,2001.8,2960,35.4,180.0,2,1,150
1776.5,2042.7,3088,66.0,180.0,2,1,144
1888.0,2028.0,3600,44.4,180.0,2,2,139
1852.3,2019.4,3792,72.0,180.0,2,1,108
1869.9,2039.3,4304,50.0,180.0,2,1,127
1859.5,2147.4,6928,72.2,180.0,2,1,129
1852.2,1994.9,7760,78.8,180.0,2,1,128
1825.3,1917.1,8080,53.1,180.0,2,1,115
1779.6,1858.2,9168,38.6,180.0,2,1,148
2311.0,940.0,11152,68.8,180.0,2,1,160
1882.1,2022.7,3600,50.6,186.0,2,2,128
1824.7,2009.0,3792,100.1,186.0,2,1,136
1897.6,2162.7,6480,75.5,186.0,2,1,181
1900.4,2102.1,7312,67.2,186.0,2,1,128
1844.4,2045.4,7504,127.1,186.0,2,1,117
1838.8,1900.9,8144,52.4,186.0,2,1,149
1741.4,1838.9,8528,63.0,186.0,2,1,130
1758.7,1808.9,9040,47.6,186.0,2,1,148
1742.6,1842.5,9104,76.7,186.0,2,1,147
1722.7,1896.6,9488,36.5,186.0,2,1,154
1591.1,1889.1,9552,127.5,186.0,2,1,140
1580.3,1882.0,9680,112.1,186.0,2,1,129
1615.2,1789.5,10320,40.0,186.0,2,1,164
1773.9,2020.1,3280,73.4,192.0,2,1,145
1912.1,2032.9,4112,34.7,192.0,2,1,118
1886.3,2016.0,4368,48.2,192.0,2,1,124
1840.8,2049.4,4688,57.1,192.0,2,1,114
1841.2,2021.0,4944,116.2,192.0,2,1,127
1895.6,2124.0,7120,44.3,192.0,2,1,121
1884.1,2049.0,7440,95.8,192.0,2,2,133
1854.8,1954.8,7952,38.4,192.0,2,1,136
1745.2,1849.8,8464,86.4,192.0,2,1,141
1671.2,1824.1,8592,122.4,192.0,2,1,188
1740.2,1898.4,9360,39.3,192.0,2,1,163
1660.1,1874.1,9616,73.9,192.0,2,1,148
1491.8,1773.0,10448,137.5,192.0,2,1,188
1587.0,1755.1,10512,64.4,192.0,2,1,156
1586.8,1730.1,10640,79.8,192.0,2,1,172
1386.7,2087.6,912,71.1,198.0,2,1,145
1870.5,2001.9,3792,56.6,198.0,2,1,130
1865.2,2003.8,4368,71.8,198.0,2,1,145
1923.2,2099.8,6160,73.8,198.0,2,1,142
1916.2,2112.7,7248,52.2,198.0,2,1,153
1852.6,1869.7,8272,42.0,198.0,2,1,177
1533.1,1831.1,9936,126.5,198.0,2,1,178
1560.6,1763.1,10320,99.2,198.0,2,2,187
1564.1,1781.4,10448,65.4,198.0,2,1,141
1816.4,1214.7,10960,112.5,198.0,2,1,149
1792.1,1986.3,3024,80.8,204.0,2,1,141
1882.1,2022.5,4304,41.4,204.0,2,1,100
1937.6,2095.7,5648,50.1,204.0,2,1,163
1890.3,2124.1,7056,60.3,204.0,2,2,155
1835.7,1963.3,7888,58.7,204.0,2,1,130
1857.2,1947.1,7952,38.5,204.0,2,1,163
1835.1,1897.8,8080,47.4,204.0,2,1,142
1727.8,1837.4,8656,60.2,204.0,2,1,155
1678.7,1856.6,8848,60.6,204.0,2,1,120
1442.8,1940.5,1040,71.7,210.0,2,1,171
1866.2,1994.2,3856,56.5,210.0,2,1,129
1856.9,2038.4,4688,45.9,210.0,2,1,151
1893.6,2124.9,6480,91.3,210.0,2,1,175
1655.5,1845.0,9616,88.9,210.0,2,1,162
1548.4,1684.4,1552,53.8,216.0,2,1,162
1787.8,1957.9,2768,53.0,216.0,2,1,169
1891.6,2013.5,4816,44.0,216.0,2,1,159
1961.1,2116.5,6096,34.6,216.0,2,1,146
1901.8,2119.1,6480,87.6,216.0,2,1,160
1749.3,1885.2,9360,36.3,216.0,2,1,162
1737.4,1896.9,9424,38.7,216.0,2,1,139
1795.5,2000.4,3088,63.3,222.0,2,1,167
1893.3,1991.4,3792,41.8,222.0,2,1,160
2317.2,883.6,11152,84.2,222.0,2,1,113
1550.9,1721.3,1296,68.7,228.0,2,1,175
1832.5,1981.9,3024,50.1,228.0,2,1,139
1803.4,1999.3,3088,58.5,228.0,2,1,159
1932.4,2143.9,6864,39.0,228.0,2,1,151
1458.2,1912.1,1040,79.4,234.0,2,1,175
1918.2,2001.9,4112,47.2,234.0,2,1,134
1914.3,1999.7,4368,32.6,234.0,2,1,138
1915.5,1994.9,4368,36.0,240.0,2,1,127
1918.1,1970.6,5008,90.8,240.0,2,1,124
1826.6,1992.5,3280,46.9,246.0,2,1,132
1888.4,1962.4,3856,65.7,246.0,2,1,114
1947.2,2064.1,7312,49.3,246.0,2,1,103
1680.4,1878.9,2384,35.4,252.0,2,1,176
1852.4,1977.5,3024,43.8,252.0,2,1,138
1829.3,2001.7,3088,43.1,252.0,2,1,136
1914.0,1919.8,3920,111.6,252.0,2,1,112
1636.8,1819.1,9936,53.7,252.0,2,1,172
1644.8,1684.9,10640,65.0,252.0,2,1,158
1836.9,1471.8,10832,63.4,252.0,2,1,123
1919.5,2089.9,6928,58.8,258.0,2,2,155
1642.6,1819.2,9936,52.1,258.0,2,1,150
1853.1,1947.0,2960,55.1,264.0,2,1,108
1860.6,1968.0,3024,51.5,264.0,2,1,138
1727.9,1846.0,9616,43.7,264.0,2,1,245
1684.4,1823.4,9680,70.7,264.0,2,1,146
1942.7,1932.0,3984,100.7,270.0,2,1,120
1948.8,1979.0,4880,63.5,270.0,2,1,121
1717.9,1854.3,9552,48.0,270.0,2,1,149
1674.2,1798.0,9808,58.2,270.0,2,1,202
1664.9,1684.5,10640,62.2,270.0,2,1,185
1503.6,1971.0,976,79.2,276.0,2,1,224
1851.4,1941.8,2896,62.9,276.0,2,1,148
1870.8,1973.3,3024,46.1,276.0,2,1,145
1925.2,1926.1,3856,96.9,276.0,2,1,127
1611.8,1819.1,10000,31.6,276.0,2,1,207
1610.8,1793.8,10064,48.6,276.0,2,1,127
1671.0,1689.0,10640,58.0,276.0,2,1,174
1517.2,1918.7,1040,59.0,282.0,2,1,145
1554.5,1822.5,1168,43.3,282.0,2,1,211
1841.1,1940.2,2768,49.9,282.0,2,1,131
1874.8,1977.5,3024,42.6,282.0,2,1,128
1964.3,1951.5,3920,76.1,282.0,2,1,108
1939.6,1997.0,4176,54.9,282.0,2,1,146
1930.2,1990.6,4304,49.9,282.0,2,1,102
1704.7,1832.8,9680,62.2,282.0,2,1,253
1666.0,1692.9,10512,77.3,282.0,2,1,232
1526.2,1954.6,976,100.1,288.0,2,2,137
1523.6,1918.8,1040,60.5,288.0,2,1,164
1862.7,1980.6,3088,65.3,288.0,2,1,127
1946.6,1984.1,3600,46.1,288.0,2,1,206
1992.6,2109.4,6480,64.3,288.0,2,1,138
1745.2,1586.2,10768,68.1,288.0,2,1,236
1613.9,1743.2,1232,85.5,294.0,2,1,144
1991.3,2055.0,7312,59.2,294.0,2,2,120
1791.4,1877.9,9360,31.4,294.0,2,1,123
1684.1,1691.9,10512,83.8,294.0,2,1,170
1716.8,1868.5,2384,50.9,300.0,2,1,169
1940.2,2004.1,4304,40.7,300.0,2,1,125
1796.8,1875.1,9360,36.3,300.0,2,1,160
1626.0,1820.1,10000,35.0,300.0,2,1,253
1652.4,1662.3,1360,78.2,306.0,2,1,171
1962.8,1956.9,3856,81.1,306.0,2,1,141
1978.8,1994.9,4112,55.9,306.0,2,1,140
1938.2,2014.1,4304,31.1,306.0,2,2,131
1915.0,2023.1,4624,39.4,306.0,2,1,131
1643.4,1790.3,10064,64.0,306.0,2,1,119
1768.8,1589.5,10768,76.1,306.0,2,1,208
1628.2,1737.5,1296,46.8,312.0,2,1,186
1906.4,1974.2,3024,60.5,312.0,2,1,146
1976.1,1954.7,3856,91.2,312.0,2,1,124
1979.8,2002.5,4112,50.6,312.0,2,1,139
1690.9,1828.5,9936,56.1,312.0,2,1,176
1542.5,1942.5,1040,50.6,318.0,2,1,196
1742.7,1866.4,2384,69.0,318.0,2,1,136
2029.9,2119.0,6480,77.0,318.0,2,1,138
1707.9,1802.0,10192,41.6,318.0,2,1,120
1600.9,1824.6,1168,68.5,324.0,2,1,134
1665.2,1707.1,1488,50.2,324.0,2,1,157
1654.9,1675.5,1808,78.6,324.0,2,1,181
1866.3,1963.2,2768,44.0,324.0,2,1,135
1977.3,1994.2,3728,41.1,324.0,2,1,165
1950.4,2017.1,4304,37.8,324.0,2,1,149
2004.8,2135.3,6736,66.0,324.0,2,1,125
1713.2,1827.9,9808,48.2,324.0,2,1,183
1648.4,1811.0,10064,52.8,324.0,2,1,128
1710.6,1713.5,10640,56.5,324.0,2,2,195
1822.3,1579.7,10768,121.4,324.0,2,1,153
1661.1,1689.7,1424,59.7,330.0,2,2,161
1627.1,1670.7,1680,51.7,330.0,2,1,210
1673.6,1674.2,1808,95.0,330.0,2,1,184
1896.4,2024.5,3408,35.8,330.0,2,1,124
1982.7,2009.7,3984,46.1,330.0,2,1,136
2015.9,2136.9,6736,74.4,330.0,2,1,131
1801.5,1900.7,9424,37.9,330.0,2,1,133
1913.2,2005.3,3280,73.8,336.0,2,1,127
2022.3,2153.2,6544,53.3,336.0,2,1,149
1797.1,1857.6,8720,53.5,336.0,2,1,117
1798.5,1617.9,10768,81.4,336.0,2,1,194
1506.0,2092.8,912,54.4,342.0,2,2,158
1624.8,1937.4,1040,126.1,342.0,2,1,146
1595.9,1848.5,1168,53.0,342.0,2,1,153
1624.2,1806.7,1232,47.4,342.0,2,1,125
1657.7,1709.9,2000,55.8,342.0,2,1,164
1631.3,1843.0,2128,44.1,342.0,2,1,132
1986.5,2043.3,4240,78.4,342.0,2,1,124
2020.0,2104.8,5776,56.7,342.0,2,1,144
1930.3,1973.9,7888,43.1,342.0,2,1,144
1705.8,1862.6,9872,54.2,342.0,2,1,218
1674.2,1711.1,1360,69.2,348.0,2,1,169
1958.2,1868.7,8272,67.2,348.0,2,1,113
1893.0,1857.2,8336,31.9,348.0,2,1,173
1885.4,1836.4,9104,68.0,348.0,2,1,148
1693.7,1787.3,10448,68.9,348.0,2,1,158
1715.5,1754.5,10512,67.0,348.0,2,1,155
2012.5,2010.2,3792,88.7,354.0,2,1,166
1912.5,1864.2,8400,68.8,354.0,2,1,173
1721.5,1872.3,9872,67.5,354.0,2,1,179
1656.7,1836.7,10064,51.3,354.0,2,1,153
1667.1,1736.6,1488,42.5,0.0,3,1,190
1689.5,1716.0,1552,97.7,0.0,3,1,186
1746.8,1912.6,2384,55.4,0.0,3,2,172
1920.4,2019.2,3024,54.4,0.0,3,1,141
1922.3,2042.3,3408,56.9,0.0,3,1,255
1931.9,2061.9,3472,45.6,0.0,3,1,142
2004.0,2018.4,3728,59.9,0.0,3,1,119
1994.5,2061.3,4688,97.8,0.0,3,1,160
1994.6,1948.8,8016,115.7,6.0,3,1,152
1978.9,1915.6,8144,88.4,6.0,3,1,138
1785.8,1870.1,8784,54.5,6.0,3,1,115
1907.1,1859.8,9104,88.7,6.0,3,1,142
1776.4,1780.6,10384,95.0,6.0,3,1,148
2168.8,1022.6,11088,70.9,6.0,3,1,145
1669.7,1746.2,1488,46.1,12.0,3,1,182
1906.3,2051.0,3408,41.8,12.0,3,2,140
1989.9,2040.2,3600,58.8,12.0,3,1,153
1993.0,2050.1,4112,48.1,12.0,3,2,131
1934.3,2064.0,4624,43.4,12.0,3,1,123
1963.1,2075.4,4688,67.9,12.0,3,1,143
2029.9,2166.6,7056,86.4,12.0,3,1,129
2035.1,2058.2,7568,55.3,12.0,3,2,150
1968.4,1922.8,8144,79.1,12.0,3,1,151
1805.9,1891.6,8720,59.0,12.0,3,1,148
1843.0,1920.2,9360,65.8,12.0,3,1,151
1693.5,1845.4,10128,71.1,12.0,3,1,210
1743.5,1754.3,10576,78.9,12.0,3,1,156
1995.7,1264.9,10960,73.9,12.0,3,1,128
2031.6,2090.4,5200,50.9,18.0,3,1,255
2057.0,2143.3,6160,66.9,18.0,3,1,117
1880.0,1870.2,8528,79.9,18.0,3,1,125
1841.5,1881.0,8656,61.7,18.0,3,2,110
1853.4,1884.7,9232,53.1,18.0,3,1,155
1691.6,1758.6,10704,47.1,18.0,3,2,154
1908.1,2063.1,3280,68.3,24.0,3,1,150
1956.4,2093.2,3472,76.8,24.0,3,1,138
1954.6,2082.9,4624,68.7,24.0,3,1,124
2033.9,2156.8,6096,49.1,24.0,3,1,146
1990.2,2193.3,6800,59.3,24.0,3,1,146
2048.7,2076.8,7568,74.2,24.0,3,1,162
1923.4,2002.3,7888,37.2,24.0,3,2,116
1867.3,1841.1,9040,67.0,24.0,3,1,151
1855.7,1866.9,9104,40.3,24.0,3,1,154
1734.2,1914.9,9872,87.4,24.0,3,1,220
1990.3,1279.3,10960,73.2,24.0,3,1,151
1616.9,1843.2,1232,43.6,30.0,3,3,135
1653.4,1752.6,1360,54.2,30.0,3,1,162
1877.5,2010.5,2832,48.2,30.0,3,1,117
1870.5,2048.3,3216,45.0,30.0,3,1,119
1979.7,2039.0,3728,41.2,30.0,3,1,151
1964.0,2064.8,4304,51.0,30.0,3,1,137
2000.1,2202.2,6736,56.2,30.0,3,3,135
1877.0,1890.4,8400,38.1,30.0,3,2,136
1724.7,1781.2,10640,69.1,30.0,3,1,143
2138.1,1038.1,11088,45.9,30.0,3,1,134
1882.0,2062.4,3216,62.4,36.0,3,2,215
1991.4,2076.0,3664,64.4,36.0,3,1,112
1992.5,2077.4,4048,40.6,36.0,3,1,133
2033.6,2104.0,4880,104.8,36.0,3,1,125
2007.8,2202.7,6928,94.1,36.0,3,1,146
1919.4,1965.7,8016,49.3,36.0,3,1,124
1782.1,1901.1,8784,62.4,36.0,3,1,145
1763.1,1902.3,8848,36.0,36.0,3,1,130
1839.4,1894.8,9232,45.1,36.0,3,1,165
1773.4,1919.2,9616,50.6,36.0,3,1,155
1934.1,1467.2,10896,58.6,36.0,3,1,164
1914.0,2051.4,2960,74.2,42.0,3,1,180
1983.4,2053.8,3728,52.9,42.0,3,1,153
1974.3,2096.8,4432,78.9,42.0,3,1,119
1928.1,2087.5,4624,48.7,42.0,3,1,144
1966.0,2074.3,4816,52.2,42.0,3,1,127
2031.5,2118.2,5200,65.0,42.0,3,1,138
2016.4,2078.5,7568,47.6,42.0,3,1,161
1780.4,1922.9,8848,62.4,42.0,3,1,163
1785.7,1866.8,8912,44.2,42.0,3,1,159
1837.6,1899.5,9232,46.7,42.0,3,1,150
1755.7,1951.2,9680,85.9,42.0,3,1,162
1699.7,1911.8,9936,62.3,42.0,3,1,180
2408.9,966.2,11152,39.2,42.0,3,1,166
1981.4,2082.4,3600,73.3,48.0,3,1,154
1982.4,2086.1,3664,64.4,48.0,3,1,142
1963.3,2097.0,4432,71.3,48.0,3,1,140
2008.7,2108.9,4880,89.4,48.0,3,1,126
2010.8,2105.4,5200,41.3,48.0,3,1,112
2019.1,2112.3,7504,72.1,48.0,3,1,146
1784.9,1872.8,8912,47.8,48.0,3,1,154
1804.8,1935.6,9360,39.1,48.0,3,1,128
1688.3,1908.9,9936,52.1,48.0,3,1,187
1736.9,1816.3,10576,105.5,48.0,3,1,144
1720.7,1808.7,10640,83.4,48.0,3,1,161
1958.0,1287.9,10960,51.7,48.0,3,1,146
1584.9,1919.2,1168,67.2,54.0,3,1,164
1642.9,1767.2,1616,87.5,54.0,3,1,124
1977.8,2090.5,3600,77.3,54.0,3,1,166
2050.3,2190.9,3664,188.8,54.0,3,1,148
2030.6,2175.6,5392,98.3,54.0,3,1,182
1676.5,1909.9,9872,37.8,54.0,3,1,152
1687.4,1917.0,9936,57.8,54.0,3,1,202
1576.0,1917.8,1168,61.2,60.0,3,1,212
1667.3,1966.6,2320,89.0,60.0,3,1,153
1963.1,2078.2,3536,68.4,60.0,3,1,148
2013.1,2166.0,3664,147.6,60.0,3,1,101
1919.8,2103.2,4624,55.7,60.0,3,1,108
1946.1,2072.2,4816,37.9,60.0,3,1,163
1697.5,1803.2,10640,65.3,60.0,3,1,144
1764.2,1720.5,10768,80.2,60.0,3,1,172
1558.5,1979.0,1104,77.1,66.0,3,1,172
1633.6,1854.9,1296,90.4,66.0,3,1,145
1891.7,2077.1,3024,63.4,66.0,3,1,145
2008.6,2144.2,5072,95.4,66.0,3,1,149
1903.2,2018.3,7888,34.1,66.0,3,1,137
1671.8,1918.6,9872,42.9,66.0,3,1,153
2025.3,1171.3,11024,50.3,66.0,3,1,154
1867.5,2085.7,3152,70.0,72.0,3,1,160
1879.7,2086.2,3408,46.1,72.0,3,2,131
1972.0,2113.8,4880,75.0,72.0,3,3,140
1999.1,2147.3,5072,94.9,72.0,3,1,137
1712.9,1958.8,9680,68.4,72.0,3,1,154
1638.8,1964.7,2320,76.9,78.0,3,2,142
1874.7,2076.3,2960,76.2,78.0,3,1,124
1930.4,2048.0,3792,29.2,78.0,3,1,122
1950.7,2070.4,3984,38.5,78.0,3,1,159
1902.0,2102.6,4624,48.7,78.0,3,1,134
1731.2,1965.0,9552,64.0,78.0,3,1,159
1630.6,1959.0,10064,119.6,78.0,3,1,183
1686.2,1873.1,10192,44.3,78.0,3,1,188
1675.5,1796.7,10640,51.1,78.0,3,1,162
1902.0,1505.0,10896,73.8,78.0,3,1,183
1631.1,1968.8,2320,79.7,84.0,3,1,130
1851.4,2127.0,3088,84.7,84.0,3,1,149
1922.9,2097.0,3856,74.9,84.0,3,1,134
1950.6,2107.6,3984,75.3,84.0,3,1,192
1943.5,2121.2,4368,95.7,84.0,3,1,130
1922.6,2110.3,4432,66.7,84.0,3,1,162
1669.6,1791.1,10640,44.6,84.0,3,2,160
1545.5,1948.0,1168,83.2,90.0,3,1,144
1579.1,1894.3,1232,73.0,90.0,3,1,153
