z,theta_deg,r_l1_vox,r_um,k_inner,k_outer,n_in_pack,material
912,36.0,807.8,13958,68,69,2,1
912,36.0,875.7,15132,75,76,3,1
912,36.0,883.3,15264,75,76,3,1
912,42.0,156.5,2704,15,16,3,1
912,42.0,165.0,2851,15,16,3,1
912,42.0,186.5,3223,16,17,2,1
912,42.0,209.2,3616,17,19,2,1
912,42.0,311.0,5374,25,26,2,1
912,42.0,348.5,6022,28,29,4,1
912,42.0,356.5,6160,28,29,4,1
912,42.0,364.5,6299,28,29,4,1
912,42.0,380.5,6575,29,30,2,1
912,42.0,395.3,6831,30,31,3,1
912,42.0,402.2,6949,30,31,3,1
912,42.0,421.0,7275,31,32,2,1
912,42.0,444.2,7677,32,33,2,1
912,42.0,794.5,13729,67,68,2,1
912,48.0,143.8,2484,13,15,2,1
912,48.0,164.0,2834,15,16,2,1
912,48.0,184.3,3185,16,17,3,1
912,48.0,195.2,3372,16,17,3,1
912,48.0,216.0,3732,17,19,3,1
912,48.0,226.0,3905,17,19,3,1
912,48.0,274.2,4739,24,25,2,1
912,48.0,311.7,5386,26,27,3,1
912,48.0,322.8,5579,26,27,3,1
912,48.0,403.0,6964,30,31,2,1
912,48.0,480.0,8294,37,38,2,1
912,48.0,495.8,8567,38,39,2,1
912,48.0,565.0,9763,45,46,2,1
912,48.0,700.7,12108,58,59,3,1
912,48.0,709.8,12266,58,59,3,1
912,54.0,239.5,4139,24,25,2,1
912,54.0,299.8,5180,27,28,2,1
912,54.0,344.7,5956,29,30,3,1
912,54.0,356.8,6166,29,30,3,1
912,54.0,380.3,6572,30,31,3,1
912,54.0,391.7,6768,30,31,3,1
912,54.0,559.1,9662,48,49,2,1
912,60.0,304.0,5253,29,30,2,1
912,60.0,559.0,9660,53,54,2,1
912,66.0,340.0,5875,35,36,2,1
912,66.0,368.2,6362,37,38,3,1
912,66.0,378.3,6538,37,38,3,1
912,66.0,489.0,8450,46,49,2,1
912,72.0,157.0,2714,18,21,2,1
912,72.0,221.2,3823,27,28,2,1
912,72.0,240.5,4156,28,29,2,1
912,72.0,499.8,8637,54,57,2,1
912,72.0,520.0,8986,57,60,2,1
912,78.0,261.0,4510,30,31,2,1
912,78.0,306.0,5288,34,35,2,1
912,78.0,540.2,9336,61,62,2,1
912,84.0,246.5,4260,30,31,2,1
912,84.0,293.6,5074,34,35,2,1
912,84.0,315.2,5448,35,39,2,1
912,84.0,347.0,5996,41,42,2,1
912,84.0,450.2,7780,52,53,2,1
912,84.0,472.2,8159,53,54,2,1
912,84.0,491.9,8501,54,58,2,1
912,90.0,91.1,1574,8,11,2,1
912,90.0,121.0,2091,11,20,3,1
912,90.0,132.7,2294,11,20,3,1
912,90.0,455.1,7864,56,57,2,1
912,96.0,127.7,2206,15,19,2,1
912,96.0,159.3,2753,20,21,2,1
912,96.0,297.7,5144,34,36,2,1
912,96.0,380.7,6578,43,47,2,1
912,102.0,111.1,1920,11,17,2,1
912,102.0,199.2,3443,26,27,2,1
912,102.0,380.5,6575,46,50,2,1
912,102.0,454.3,7850,56,59,2,1
912,102.0,479.9,8293,59,63,2,1
912,108.0,83.0,1434,8,11,2,1
912,108.0,108.3,1872,11,15,2,1
912,108.0,485.8,8394,59,60,2,1
912,114.0,217.5,3758,26,27,3,1
912,114.0,226.5,3914,26,27,3,1
912,114.0,362.5,6264,39,43,2,1
912,114.0,488.8,8447,56,57,3,1
912,114.0,498.2,8608,56,57,3,1
912,120.0,27.5,475,1,4,2,1
912,120.0,86.1,1488,8,11,2,1
912,120.0,232.0,4009,24,25,2,1
912,120.0,254.5,4398,25,26,2,1
912,120.0,389.6,6732,38,42,2,1
912,120.0,512.8,8860,54,55,2,1
912,126.0,28.0,484,1,4,2,1
912,126.0,90.8,1568,8,11,2,1
912,126.0,204.2,3529,23,24,2,1
912,126.0,220.2,3806,24,25,2,1
912,126.0,263.2,4549,26,27,2,1
912,126.0,286.6,4952,27,28,2,1
912,126.0,304.3,5259,28,31,2,1
912,126.0,356.3,6157,34,38,2,1
912,126.0,450.9,7791,46,48,2,1
912,132.0,299.8,5180,31,32,2,1
912,132.0,325.2,5620,33,34,2,1
912,132.0,380.2,6569,40,41,3,1
912,132.0,388.8,6719,40,41,3,1
912,132.0,586.0,10126,60,61,2,1
912,138.0,276.2,4774,29,30,2,1
912,138.0,413.5,7145,41,42,2,1
912,138.0,521.0,9004,52,53,2,1
912,138.0,607.5,10498,61,62,2,1
912,144.0,117.2,2026,10,11,2,1
912,144.0,256.8,4437,25,26,2,1
912,144.0,327.5,5659,32,33,3,1
912,144.0,338.5,5849,32,33,3,1
912,144.0,384.5,6644,35,36,2,1
912,144.0,435.8,7530,40,41,2,1
912,144.0,602.0,10403,57,58,3,1
912,144.0,613.5,10601,57,58,3,1
912,150.0,159.4,2755,14,15,2,1
912,150.0,177.4,3066,15,19,2,1
912,150.0,315.0,5443,31,32,2,1
912,150.0,335.8,5802,32,33,2,1
912,150.0,396.3,6849,36,37,3,1
912,150.0,406.2,7019,36,37,3,1
912,150.0,451.2,7798,39,40,2,1
912,150.0,545.0,9418,49,51,2,1
912,156.0,13.5,233,0,1,2,1
912,156.0,47.8,825,4,5,2,1
912,156.0,171.2,2959,15,16,2,1
912,156.0,380.9,6582,35,36,3,0
912,156.0,393.3,6797,35,36,3,1
912,156.0,418.6,7234,36,38,2,1
912,156.0,441.3,7626,38,41,2,1
912,156.0,463.1,8002,41,44,2,1
912,156.0,485.8,8394,44,45,2,1
912,156.0,581.5,10048,53,54,2,1
912,156.0,606.0,10472,55,56,2,1
912,156.0,669.6,11571,61,62,5,1
912,156.0,679.2,11737,61,62,5,1
912,156.0,688.8,11902,61,62,5,1
912,156.0,698.4,12068,61,62,5,1
912,162.0,15.8,272,0,1,2,1
912,162.0,65.5,1132,5,6,2,1
912,162.0,174.4,3014,16,17,4,1
912,162.0,181.3,3133,16,17,4,1
912,162.0,188.2,3252,16,17,4,1
912,162.0,202.6,3500,17,21,2,1
912,162.0,219.5,3793,21,22,2,1
912,162.0,430.0,7430,41,42,2,1
912,162.0,470.2,8126,44,45,2,1
912,162.0,730.9,12630,67,68,4,1
912,162.0,746.2,12895,67,68,4,1
912,162.0,761.6,13161,67,68,4,1
912,168.0,69.0,1192,4,5,2,1
912,168.0,189.3,3271,16,17,5,1
912,168.0,199.1,3440,16,17,5,1
912,168.0,208.9,3610,16,17,5,1
912,168.0,218.7,3779,16,17,5,1
912,168.0,326.2,5638,27,28,2,1
912,168.0,347.2,6000,28,29,2,1
912,168.0,408.9,7065,33,34,2,1
912,168.0,500.2,8644,42,43,2,1
912,168.0,519.2,8973,43,44,2,1
912,168.0,540.0,9331,44,45,2,1
912,168.0,567.6,9809,46,47,2,1
912,168.0,610.5,10549,50,51,2,1
912,168.0,634.0,10956,51,52,2,1
912,168.0,699.8,12093,55,56,3,1
912,168.0,711.7,12298,55,56,3,1
912,168.0,744.5,12865,57,58,3,1
912,168.0,756.5,13072,57,58,3,1
912,174.0,184.5,3188,15,16,7,1
912,174.0,195.5,3378,15,16,7,1
912,174.0,206.5,3568,15,16,7,1
912,174.0,217.5,3758,15,16,7,1
912,174.0,228.5,3948,15,16,7,1
912,174.0,239.5,4139,15,16,7,1
912,174.0,360.0,6221,23,24,2,1
912,174.0,404.2,6985,25,26,2,1
912,174.0,600.5,10377,39,40,2,1
912,174.0,790.8,13664,49,50,2,1
912,174.0,843.0,14567,51,52,2,1
912,174.0,876.8,15150,52,53,2,1
912,174.0,913.2,15781,53,54,3,1
912,174.0,933.0,16122,53,54,3,1
912,180.0,181.3,3133,13,16,2,1
912,180.0,257.0,4441,19,20,4,1
912,180.0,275.0,4752,19,20,4,1
912,180.0,293.0,5063,19,20,4,1
912,180.0,335.5,5797,21,22,6,0
912,180.0,349.5,6039,21,22,6,1
912,180.0,363.5,6281,21,22,6,0
912,180.0,377.5,6523,21,22,6,1
912,180.0,391.5,6765,21,22,6,0
912,180.0,473.2,8178,27,28,2,1
912,180.0,500.0,8640,28,29,3,1
912,180.0,511.5,8839,28,29,3,1
912,180.0,536.5,9271,29,30,2,1
912,180.0,647.4,11187,34,35,5,1
912,180.0,665.8,11505,34,35,5,1
912,180.0,684.2,11823,34,35,5,1
912,180.0,702.6,12141,34,35,5,1
912,180.0,740.4,12795,35,36,3,1
912,180.0,759.9,13131,35,36,3,1
912,180.0,812.0,14031,39,40,2,1
912,180.0,861.0,14878,43,44,2,1
912,180.0,884.5,15284,44,45,2,1
912,180.0,1016.0,17556,55,59,2,1
912,186.0,181.8,3142,14,15,3,1
912,186.0,190.7,3295,14,15,3,1
912,186.0,242.5,4190,18,19,6,1
912,186.0,253.5,4380,18,19,6,1
912,186.0,264.5,4571,18,19,6,1
912,186.0,275.5,4761,18,19,6,1
912,186.0,286.5,4951,18,19,6,1
912,186.0,331.5,5728,21,22,2,1
912,186.0,453.1,7829,34,35,2,1
912,186.0,468.1,8089,35,38,3,1
912,186.0,476.6,8235,35,38,3,1
912,186.0,539.2,9318,43,44,2,1
912,186.0,558.2,9647,44,45,2,1
912,186.0,596.5,10308,46,47,2,1
912,186.0,626.8,10830,47,48,2,1
912,186.0,652.3,11272,48,49,3,1
912,186.0,664.2,11477,48,49,3,1
912,186.0,706.2,12204,50,51,2,1
912,186.0,736.2,12722,52,53,2,1
912,186.0,756.5,13072,53,54,2,1
912,186.0,792.7,13697,56,57,3,1
912,186.0,801.3,13847,56,57,3,1
912,186.0,818.1,14137,57,58,5,1
912,186.0,826.2,14277,57,58,5,1
912,186.0,834.3,14417,57,58,5,1
912,186.0,842.4,14557,57,58,5,1
912,186.0,861.2,14882,58,59,2,1
912,186.0,909.2,15712,61,62,2,1
912,186.0,925.8,15997,62,63,2,0
912,192.0,182.4,3151,12,14,2,1
912,192.0,268.0,4631,18,19,4,1
912,192.0,281.5,4864,18,19,4,1
912,192.0,295.0,5098,18,19,4,1
912,192.0,331.4,5726,20,22,2,1
912,192.0,541.8,9361,44,46,2,1
912,192.0,721.8,12472,60,61,2,1
912,192.0,779.7,13473,63,64,3,1
912,192.0,796.3,13761,63,64,3,1
912,192.0,880.2,15211,67,68,2,1
912,198.0,95.5,1650,3,4,2,1
912,198.0,163.8,2830,9,10,2,0
912,198.0,195.2,3374,10,11,2,1
912,198.0,232.0,4009,11,12,2,1
912,198.0,391.5,6764,23,25,2,1
912,198.0,439.0,7586,30,31,2,1
912,198.0,490.2,8472,37,38,4,1
912,198.0,499.0,8623,37,38,4,1
912,198.0,507.8,8774,37,38,4,1
912,198.0,549.7,9498,40,41,3,1
912,198.0,560.3,9683,40,41,3,1
912,198.0,585.5,10117,41,42,2,1
912,198.0,664.8,11487,47,48,2,1
912,198.0,712.8,12316,50,51,2,1
912,198.0,740.8,12800,51,52,2,1
912,198.0,761.2,13154,52,53,2,1
912,198.0,826.5,14282,56,57,2,1
912,204.0,201.7,3485,8,9,4,1
912,204.0,215.4,3722,8,9,4,1
912,204.0,229.1,3959,8,9,4,1
912,204.0,256.6,4435,9,14,2,1
912,204.0,281.0,4856,14,15,2,1
912,204.0,533.5,9219,35,36,2,1
912,204.0,585.5,10117,37,38,2,1
912,204.0,665.0,11491,43,45,2,1
912,204.0,767.5,13262,51,52,3,1
912,204.0,777.0,13427,51,52,3,1
912,204.0,819.5,14161,55,56,5,1
912,204.0,830.0,14342,55,56,5,1
912,204.0,840.5,14524,55,56,5,0
912,204.0,851.0,14705,55,56,5,1
912,204.0,909.3,15713,60,61,3,1
912,204.0,919.7,15892,60,61,3,1
912,204.0,941.8,16273,61,62,2,0
912,210.0,182.9,3160,5,7,2,1
912,210.0,207.5,3586,7,8,3,1
912,210.0,220.0,3802,7,8,3,1
912,210.0,243.2,4202,8,11,5,1
912,210.0,253.9,4387,8,11,5,1
912,210.0,264.6,4572,8,11,5,1
912,210.0,275.3,4757,8,11,5,1
912,210.0,434.9,7515,26,28,2,1
912,210.0,682.2,11789,51,52,2,1
912,210.0,704.5,12174,52,53,2,1
912,210.0,731.9,12647,54,55,2,1
912,210.0,748.1,12927,55,57,4,1
912,210.0,757.4,13087,55,57,4,1
912,210.0,766.7,13248,55,57,4,1
912,216.0,70.2,1214,0,1,4,1
912,216.0,84.5,1460,0,1,4,1
912,216.0,98.8,1706,0,1,4,0
912,216.0,151.4,2616,4,6,2,1
912,216.0,174.0,3007,6,7,2,1
912,216.0,223.1,3856,9,10,2,1
912,216.0,306.8,5301,14,15,2,1
912,216.0,484.4,8370,30,31,2,1
912,216.0,523.8,9052,34,35,3,1
912,216.0,536.7,9274,34,35,3,1
912,216.0,559.5,9668,35,36,2,1
912,216.0,578.9,10003,36,37,4,1
912,216.0,588.2,10165,36,37,4,1
912,216.0,597.6,10327,36,37,4,1
912,216.0,737.5,12744,46,47,2,1
912,216.0,786.6,13593,48,50,2,1
912,222.0,94.2,1627,1,2,2,1
912,222.0,137.5,2376,5,6,2,1
912,222.0,400.3,6918,22,23,3,1
912,222.0,415.7,7183,22,23,3,1
912,222.0,479.5,8286,26,27,2,1
912,222.0,539.5,9323,29,30,3,1
912,222.0,554.5,9582,29,30,3,1
912,222.0,580.8,10035,30,31,2,1
912,222.0,639.4,11049,33,36,2,1
912,222.0,787.8,13612,43,44,2,1
912,228.0,40.0,691,1,2,4,1
912,228.0,49.0,847,1,2,4,1
912,228.0,58.0,1002,1,2,4,1
912,228.0,76.5,1322,2,3,2,1
912,228.0,107.4,1856,4,5,5,1
912,228.0,119.3,2062,4,5,5,1
912,228.0,131.2,2267,4,5,5,1
912,228.0,143.1,2473,4,5,5,1
912,228.0,167.6,2896,5,6,5,1
912,228.0,180.2,3114,5,6,5,1
912,228.0,192.8,3332,5,6,5,1
912,228.0,205.4,3549,5,6,5,1
912,228.0,261.1,4512,8,9,2,1
912,228.0,280.6,4849,9,13,2,1
912,228.0,409.2,7071,25,26,5,1
912,228.0,419.4,7247,25,26,5,1
912,228.0,429.6,7423,25,26,5,1
912,228.0,439.8,7600,25,26,5,1
912,228.0,462.4,7991,26,27,3,1
912,228.0,474.8,8205,26,27,3,1
912,228.0,519.0,8968,30,31,2,1
912,228.0,548.7,9481,32,33,3,1
912,228.0,560.3,9683,32,33,3,1
912,228.0,600.7,10380,35,36,3,1
912,228.0,610.3,10547,35,36,3,1
912,234.0,60.5,1045,1,4,2,1
912,234.0,109.5,1892,5,6,2,1
912,234.0,159.9,2763,7,8,4,1
912,234.0,177.2,3063,7,8,4,0
912,234.0,194.6,3363,7,8,4,1
912,234.0,234.3,4049,9,10,5,1
912,234.0,246.1,4253,9,10,5,1
912,234.0,257.9,4457,9,10,5,1
912,234.0,269.7,4660,9,10,5,1
912,234.0,292.2,5050,10,11,2,1
912,234.0,418.0,7223,21,22,2,1
912,234.0,459.5,7940,23,24,2,0
912,240.0,36.0,622,0,1,2,1
912,240.0,74.0,1279,1,2,2,1
912,240.0,150.1,2593,4,7,4,1
912,240.0,169.6,2931,4,7,4,1
912,240.0,189.2,3269,4,7,4,1
912,240.0,250.2,4323,9,10,3,1
912,240.0,265.8,4594,9,10,3,1
912,240.0,322.8,5579,12,13,3,1
912,240.0,333.7,5766,12,13,3,1
912,240.0,375.0,6480,15,16,2,1
912,240.0,490.2,8472,26,27,2,0
912,240.0,529.8,9154,28,29,2,1
912,246.0,99.3,1716,3,5,4,1
912,246.0,126.6,2188,3,5,4,1
912,246.0,153.9,2660,3,5,4,1
912,246.0,283.5,4899,9,11,2,1
912,252.0,88.9,1537,4,5,2,1
912,252.0,297.5,5141,11,12,2,0
912,252.0,348.0,6013,13,14,2,1
912,252.0,433.2,7487,17,18,2,1
912,258.0,18.2,315,0,1,2,1
912,258.0,34.3,593,1,2,8,1
912,258.0,43.1,745,1,2,8,1
912,258.0,51.9,897,1,2,8,1
912,258.0,60.8,1050,1,2,8,1
912,258.0,69.6,1202,1,2,8,1
912,258.0,78.4,1354,1,2,8,1
912,258.0,87.2,1507,1,2,8,1
912,258.0,121.6,2102,4,5,14,1
912,258.0,131.3,2269,4,5,14,0
912,258.0,140.9,2435,4,5,14,1
912,258.0,150.6,2602,4,5,14,1
912,258.0,160.2,2769,4,5,14,1
912,258.0,169.9,2935,4,5,14,1
912,258.0,179.5,3102,4,5,14,1
912,258.0,189.1,3268,4,5,14,1
912,258.0,198.8,3435,4,5,14,1
912,258.0,208.4,3602,4,5,14,1
912,258.0,218.1,3768,4,5,14,1
912,258.0,227.7,3935,4,5,14,1
912,258.0,237.4,4102,4,5,14,1
912,258.0,258.3,4464,5,6,3,1
912,258.0,269.7,4660,5,6,3,1
912,258.0,318.6,5505,10,11,5,1
912,258.0,330.7,5714,10,11,5,1
912,258.0,342.8,5924,10,11,5,0
912,258.0,354.9,6133,10,11,5,1
912,264.0,38.1,659,1,2,2,1
912,264.0,83.8,1447,4,5,2,1
912,264.0,118.0,2039,6,7,3,1
912,264.0,128.0,2212,6,7,3,1
912,264.0,177.5,3067,9,10,2,0
912,264.0,224.7,3882,11,12,3,1
912,264.0,237.3,4101,11,12,3,1
912,264.0,260.8,4506,12,13,2,1
912,264.0,284.9,4923,13,15,5,1
912,264.0,298.3,5155,13,15,5,1
912,264.0,311.7,5386,13,15,5,1
912,264.0,325.1,5618,13,15,5,1
912,264.0,394.5,6817,19,20,2,1
912,270.0,130.5,2255,4,5,2,1
912,270.0,203.0,3508,6,7,2,1
912,270.0,289.3,4999,10,11,5,1
912,270.0,306.1,5289,10,11,5,1
912,270.0,322.9,5580,10,11,5,1
912,270.0,339.7,5870,10,11,5,1
912,270.0,406.5,7024,13,14,3,0
912,270.0,422.0,7292,13,14,3,1
912,276.0,98.5,1702,6,7,2,1
912,276.0,127.7,2206,7,8,3,1
912,276.0,144.3,2494,7,8,3,1
912,276.0,174.7,3018,8,9,3,0
912,276.0,188.3,3254,8,9,3,0
912,276.0,282.8,4886,13,14,2,1
912,282.0,68.5,1184,4,5,3,1
912,282.0,80.5,1391,4,5,3,1
912,282.0,104.0,1797,5,6,5,1
912,282.0,115.5,1996,5,6,5,1
912,282.0,127.0,2195,5,6,5,1
912,282.0,138.5,2393,5,6,5,1
912,282.0,161.3,2788,6,7,3,1
912,282.0,172.7,2984,6,7,3,1
912,282.0,226.2,3910,9,10,2,1
912,288.0,75.8,1309,5,6,2,1
912,288.0,99.5,1719,6,7,5,1
912,288.0,113.0,1953,6,7,5,1
912,288.0,126.5,2186,6,7,5,1
912,288.0,140.0,2419,6,7,5,1
912,288.0,210.2,3633,9,10,2,1
912,294.0,104.8,1810,6,7,2,1
912,300.0,97.5,1685,6,7,2,1
912,300.0,183.9,3177,10,11,4,1
912,300.0,199.8,3452,10,11,4,1
912,300.0,215.6,3726,10,11,4,1
912,306.0,96.0,1659,6,7,2,1
912,306.0,174.0,3007,12,13,2,1
912,306.0,201.6,3483,14,15,6,1
912,306.0,211.2,3649,14,15,6,1
912,306.0,220.8,3815,14,15,6,1
912,306.0,230.3,3980,14,15,6,1
912,306.0,239.9,4146,14,15,6,1
912,312.0,98.6,1704,6,7,4,1
912,312.0,107.8,1862,6,7,4,1
912,312.0,116.9,2020,6,7,4,1
912,312.0,134.8,2330,7,8,3,0
912,312.0,143.7,2483,7,8,3,1
912,318.0,109.1,1885,6,7,3,1
912,318.0,122.2,2111,6,7,3,1
912,318.0,235.6,4072,13,15,14,1
912,318.0,251.0,4337,13,15,14,1
912,318.0,266.4,4603,13,15,14,1
912,318.0,281.8,4869,13,15,14,1
912,318.0,297.1,5134,13,15,14,1
912,318.0,312.5,5400,13,15,14,1
912,318.0,327.9,5666,13,15,14,0
912,318.0,343.2,5931,13,15,14,0
912,318.0,358.6,6197,13,15,14,0
912,318.0,374.0,6463,13,15,14,0
912,318.0,389.4,6728,13,15,14,1
912,318.0,404.8,6994,13,15,14,1
912,318.0,420.1,7260,13,15,14,1
912,318.0,446.0,7707,15,16,2,1
912,318.0,467.0,8070,16,17,2,1
912,318.0,510.6,8824,19,20,3,0
912,318.0,522.8,9033,19,20,3,1
912,318.0,546.2,9438,20,25,4,1
912,318.0,557.5,9633,20,25,4,1
912,318.0,568.7,9828,20,25,4,1
912,324.0,59.5,1028,2,3,2,0
912,324.0,115.6,1998,6,7,5,1
912,324.0,125.7,2172,6,7,5,1
912,324.0,135.8,2347,6,7,5,1
912,324.0,145.9,2521,6,7,5,1
912,324.0,166.1,2871,7,8,2,1
912,324.0,188.5,3257,8,10,3,1
912,324.0,200.8,3469,8,10,3,1
912,324.0,246.4,4257,13,15,4,1
912,324.0,256.0,4424,13,15,4,1
912,324.0,265.6,4590,13,15,4,1
912,324.0,286.6,4953,15,17,10,1
912,324.0,298.0,5149,15,17,10,0
912,324.0,309.4,5346,15,17,10,1
912,324.0,320.8,5543,15,17,10,1
912,324.0,332.1,5739,15,17,10,1
912,324.0,343.5,5936,15,17,10,0
912,324.0,354.9,6132,15,17,10,1
912,324.0,366.2,6329,15,17,10,1
912,324.0,377.6,6525,15,17,10,0
912,324.0,398.2,6882,17,18,2,1
912,324.0,426.0,7361,19,20,3,1
912,324.0,436.0,7534,19,20,3,1
912,324.0,551.6,9532,30,32,2,1
912,324.0,571.0,9867,32,33,3,1
912,324.0,579.5,10014,32,33,3,1
912,330.0,47.4,819,1,2,2,1
912,330.0,71.4,1233,2,4,2,1
912,330.0,136.0,2350,7,8,2,1
912,330.0,254.2,4392,20,21,3,0
912,330.0,272.8,4715,20,21,3,0
912,330.0,310.0,5357,21,22,4,1
912,330.0,328.5,5676,21,22,4,0
912,330.0,347.0,5996,21,22,4,1
912,330.0,456.6,7890,28,30,2,1
912,336.0,60.5,1045,1,2,2,1
912,336.0,140.6,2430,5,6,2,1
912,336.0,165.2,2855,6,8,7,1
912,336.0,176.2,3044,6,8,7,1
912,336.0,187.1,3234,6,8,7,1
912,336.0,198.1,3423,6,8,7,1
912,336.0,209.1,3613,6,8,7,1
912,336.0,220.0,3802,6,8,7,1
912,336.0,241.5,4173,8,9,4,1
912,336.0,252.0,4355,8,9,4,1
912,336.0,262.5,4536,8,9,4,1
912,336.0,314.5,5435,13,15,2,1
912,336.0,377.8,6528,18,19,2,1
912,336.0,399.8,6909,19,20,3,1
912,336.0,412.2,7122,19,20,3,1
912,336.0,523.8,9050,29,30,2,1
912,336.0,605.4,10462,37,38,6,1
912,336.0,614.8,10624,37,38,6,1
912,336.0,624.2,10787,37,38,6,1
