z,theta_deg,k,r_l1_vox,conf
1328,84.0,64,789.0,1
1328,162.0,61,1308.0,1
1328,162.0,62,1329.0,1
1328,168.0,75,1223.0,1
1328,276.0,62,760.0,1
1328,330.0,71,1048.5,1
1328,330.0,72,1064.5,1
1328,354.0,76,1026.0,1
1328,354.0,77,1036.0,1
1360,24.0,66,882.0,1
1360,126.0,68,822.0,1
1360,174.0,62,999.0,1
1392,6.0,63,1035.0,1
1392,126.0,76,809.0,1
1392,138.0,65,892.5,1
1392,210.0,61,757.0,1
1392,210.0,62,772.0,1
1392,210.0,63,781.0,1
1392,210.0,64,787.0,1
1392,210.0,65,806.0,1
1392,210.0,66,821.0,1
1392,210.0,67,839.0,1
1424,24.0,72,889.0,1
1424,48.0,79,972.0,1
1424,156.0,79,1292.0,1
1424,192.0,70,1032.0,1
1424,204.0,60,954.0,1
1424,204.0,61,968.0,1
1424,204.0,62,984.0,1
1456,24.0,58,901.0,1
1456,90.0,73,787.0,1
1456,90.0,74,800.0,1
1456,144.0,66,968.0,1
1456,180.0,69,961.0,1
1456,336.0,85,1098.0,1
1488,0.0,79,1014.0,1
1488,18.0,63,868.0,1
1488,102.0,64,695.0,1
1488,162.0,73,1334.0,1
1488,192.0,58,979.0,1
1488,216.0,65,871.0,1
1488,216.0,66,882.0,1
1488,216.0,67,891.0,1
1488,216.0,68,902.0,1
1488,216.0,69,921.0,1
1520,0.0,70,1010.5,1
1520,6.0,73,1009.0,1
1520,18.0,53,861.0,1
1520,18.0,54,875.0,1
1520,144.0,64,1018.0,1
1520,144.0,65,1036.0,1
1520,156.0,71,1169.5,1
1520,156.0,72,1175.5,1
1520,162.0,76,1325.5,1
1520,174.0,68,1052.0,1
1520,174.0,69,1065.0,1
1520,174.0,70,1071.0,1
1520,180.0,63,1013.5,1
1520,186.0,65,916.0,2
1520,186.0,66,930.0,1
1520,186.0,67,937.0,1
1520,198.0,66,1041.0,1
1520,216.0,73,875.0,1
1520,216.0,74,885.0,1
1520,276.0,82,849.0,1
1520,276.0,83,855.0,1
1552,0.0,64,1049.0,1
1552,6.0,67,1047.0,1
1552,90.0,69,694.0,1
1552,96.0,64,656.0,1
1552,96.0,65,664.0,1
1552,96.0,66,679.0,1
1552,96.0,67,699.0,1
1552,108.0,60,606.0,1
1552,108.0,61,621.0,1
1552,108.0,62,632.0,1
1552,108.0,63,648.0,1
1552,108.0,64,660.0,2
1552,144.0,70,1065.0,1
1552,186.0,64,909.0,1
1552,186.0,65,919.0,2
1552,198.0,67,1006.0,1
1552,198.0,68,1014.0,2
1552,336.0,78,1117.0,1
1584,18.0,54,945.0,1
1584,54.0,75,869.5,1
1584,108.0,64,640.0,2
1584,108.0,65,658.0,1
1584,114.0,66,670.5,1
1584,114.0,67,679.5,1
1584,174.0,49,1065.0,1
1584,192.0,65,867.5,1
1584,192.0,66,874.5,1
1584,198.0,68,1001.0,2
1584,198.0,69,1017.0,1
1584,228.0,79,869.5,1
1584,300.0,76,819.0,1
1584,300.0,77,827.0,1
1584,300.0,78,833.0,1
1584,348.0,73,1056.5,1
1616,12.0,59,900.0,1
1616,12.0,60,911.0,1
1616,78.0,66,608.0,1
1616,78.0,67,618.0,1
1616,78.0,68,632.0,1
1616,78.0,69,643.0,1
1616,78.0,70,651.0,1
1616,90.0,62,575.0,1
1616,90.0,63,587.0,1
1616,90.0,64,605.0,1
1616,120.0,72,732.0,1
1616,162.0,78,1329.0,1
1616,204.0,69,984.0,1
1616,300.0,63,822.0,1
1616,354.0,63,1053.0,1
1648,12.0,64,874.0,1
1648,12.0,65,882.0,1
1648,30.0,74,1048.0,1
1648,30.0,75,1055.0,1
1648,30.0,76,1065.0,1
1648,30.0,77,1080.0,1
1648,42.0,80,1137.0,1
1648,60.0,70,779.0,1
1648,60.0,71,785.0,1
1648,60.0,72,794.0,1
1648,60.0,73,805.0,1
1648,66.0,67,696.0,1
1648,66.0,68,706.0,1
1648,66.0,69,718.0,1
1648,90.0,67,617.0,1
1648,90.0,68,625.0,1
1648,90.0,69,645.0,1
1648,90.0,70,660.0,1
1648,102.0,72,631.0,1
1648,102.0,73,645.0,1
1648,102.0,74,655.0,1
1648,126.0,67,662.0,1
1648,126.0,68,674.0,1
1648,126.0,69,685.0,1
1648,126.0,70,700.0,1
1648,126.0,71,709.0,1
1648,126.0,72,717.0,1
1648,126.0,73,726.0,1
1648,162.0,80,1327.0,1
1680,6.0,70,1072.0,1
1680,12.0,60,923.0,1
1680,66.0,70,732.0,1
1680,114.0,72,700.0,1
1680,114.0,73,721.0,1
1680,132.0,71,774.0,1
1680,138.0,81,957.0,1
1680,162.0,87,1347.0,1
1680,198.0,65,851.0,1
1680,198.0,66,864.0,1
1680,318.0,81,1053.0,1
1680,318.0,82,1062.0,1
1712,12.0,64,911.0,1
1712,12.0,65,919.0,1
1712,12.0,66,926.0,1
1712,12.0,67,933.0,1
1712,12.0,68,939.0,1
1712,30.0,80,1110.0,1
1712,48.0,65,812.0,1
1712,126.0,61,710.0,1
1712,126.0,62,720.0,1
1712,126.0,63,738.0,1
1712,126.0,64,748.0,1
1744,30.0,72,1158.0,1
1744,138.0,63,869.5,1
1744,198.0,54,850.0,1
1744,198.0,55,857.0,2
1744,198.0,56,866.0,1
1744,204.0,55,897.0,2
1744,222.0,62,785.0,1
1744,318.0,83,1074.0,1
1744,336.0,93,1108.0,1
1744,336.0,94,1121.0,1
1744,342.0,88,1131.5,1
1776,0.0,59,1076.0,1
1776,6.0,60,917.0,1
1776,6.0,61,927.0,1
1776,90.0,60,621.5,1
1776,102.0,61,624.5,1
1776,210.0,53,673.0,1
1776,210.0,54,685.0,1
1776,210.0,55,694.0,1
1776,342.0,86,1092.5,1
1776,342.0,87,1103.5,1
1808,18.0,61,920.0,1
1808,18.0,62,936.0,1
1808,18.0,63,955.0,1
1808,30.0,75,1141.5,1
1808,42.0,73,842.0,1
1808,168.0,72,1307.5,1
1808,186.0,57,1004.0,2
1808,210.0,59,671.0,1
1808,210.0,60,685.0,1
1808,210.0,61,696.0,1
1808,222.0,58,570.0,1
1808,228.0,54,543.0,1
1808,348.0,79,1044.5,1
1840,18.0,56,993.0,1
1840,36.0,69,911.0,1
1840,78.0,62,573.0,1
1840,186.0,57,1016.0,2
1840,204.0,61,917.0,1
1840,210.0,50,682.0,1
1840,228.0,57,543.0,1
1840,228.0,58,549.0,1
1840,258.0,65,644.0,1
1840,264.0,66,635.0,1
1840,276.0,70,693.0,1
1840,282.0,63,735.5,1
1840,288.0,55,783.0,1
1840,288.0,56,790.0,1
1840,342.0,77,1050.5,1
1840,348.0,70,1018.0,1
1840,348.0,71,1025.0,1
1840,354.0,67,1037.5,1
1872,30.0,87,1105.0,1
1872,30.0,88,1120.0,1
1872,30.0,89,1129.0,1
1872,30.0,90,1143.0,1
1872,114.0,62,628.0,1
1872,210.0,52,645.5,1
1872,210.0,53,657.5,1
1872,228.0,60,524.0,1
1872,228.0,61,534.0,1
1872,228.0,62,549.0,1
1872,228.0,63,557.0,1
1872,228.0,64,567.0,1
1872,252.0,61,623.5,1
1872,270.0,59,645.0,1
1872,300.0,68,863.0,1
1872,354.0,65,1003.0,1
1904,6.0,68,932.5,1
1904,132.0,76,871.0,1
1904,210.0,46,631.0,1
1904,210.0,47,639.0,1
1904,222.0,53,537.0,1
1904,312.0,84,1042.0,1
1904,342.0,77,948.0,1
1904,348.0,73,998.0,1
1936,12.0,61,880.0,1
1936,12.0,62,887.0,1
1936,12.0,63,895.0,1
1936,12.0,64,909.0,1
1936,24.0,69,1112.0,1
1936,24.0,70,1121.0,2
1936,30.0,74,1095.0,1
1936,30.0,75,1102.0,1
1936,30.0,76,1109.0,1
1936,120.0,62,655.0,1
1936,174.0,62,1257.0,1
1936,174.0,63,1266.0,1
1936,210.0,43,621.0,1
1936,222.0,48,539.0,2
1936,234.0,47,509.0,1
1936,336.0,71,924.0,1
1936,336.0,72,931.0,1
1968,12.0,59,900.0,1
1968,12.0,60,906.0,1
1968,24.0,70,1111.0,2
1968,24.0,71,1121.0,1
1968,66.0,64,541.0,1
1968,132.0,71,781.0,1
1968,132.0,72,798.0,1
1968,132.0,73,810.0,1
1968,132.0,74,819.0,1
1968,222.0,48,530.0,2
1968,228.0,48,515.0,2
1968,228.0,49,525.0,1
1968,330.0,72,922.0,1
1968,336.0,73,913.0,1
1968,336.0,74,920.0,1
2000,0.0,75,1012.0,1
2000,54.0,58,635.0,1
2000,84.0,55,458.0,1
2000,90.0,50,464.0,1
2000,120.0,64,647.0,1
2000,192.0,50,836.0,1
2000,192.0,51,848.0,1
2000,330.0,88,913.0,2
2000,330.0,89,923.0,2
2000,336.0,72,922.0,1
2000,342.0,80,950.0,1
2000,348.0,73,961.0,1
2000,348.0,74,970.0,1
2000,348.0,75,978.0,1
2032,6.0,58,903.0,1
2032,54.0,61,739.0,1
2032,108.0,52,596.0,1
2032,120.0,54,562.0,1
2032,120.0,55,570.0,1
2032,120.0,56,582.0,1
2032,120.0,57,593.0,1
2032,120.0,58,619.0,1
2032,120.0,59,626.0,1
2032,120.0,60,637.0,1
2032,120.0,61,646.0,2
2032,120.0,62,657.0,1
2032,126.0,61,660.0,2
2032,132.0,54,776.0,1
2032,234.0,53,502.0,2
2032,234.0,54,530.0,1
2032,330.0,87,910.0,1
2032,330.0,88,917.0,2
2032,330.0,89,928.0,2
2032,330.0,90,943.0,1
2032,336.0,78,939.0,1
2032,342.0,77,963.0,1
2032,348.0,69,977.0,1
2032,348.0,70,983.0,1
2032,348.0,71,990.0,1
2032,348.0,72,998.0,1
2064,0.0,41,855.5,1
2064,0.0,42,866.5,1
2064,0.0,43,875.5,1
2064,0.0,44,895.5,1
2064,0.0,45,908.5,1
2064,30.0,70,930.5,1
2064,30.0,71,939.5,1
2064,48.0,52,739.0,1
2064,150.0,62,926.5,1
2064,156.0,60,1073.0,1
2064,180.0,55,1209.0,1
2064,234.0,53,465.0,2
2064,246.0,60,538.0,1
2064,246.0,61,547.0,1
2064,246.0,62,562.0,1
2064,258.0,66,616.0,1
2064,324.0,78,990.0,2
2064,330.0,78,1002.0,2
2064,354.0,65,984.5,1
2096,6.0,55,947.0,1
2096,24.0,70,1090.0,1
2096,30.0,79,895.0,1
2096,30.0,80,910.0,1
2096,30.0,81,921.0,1
2096,30.0,82,930.0,1
2096,30.0,83,948.0,1
2096,90.0,57,697.0,1
2096,144.0,59,934.0,1
2096,204.0,67,863.0,1
2096,204.0,68,880.0,1
2096,216.0,60,674.0,1
2096,216.0,61,691.0,1
2096,222.0,53,576.0,1
2096,306.0,94,1113.0,1
2096,324.0,79,990.0,1
2096,324.0,80,998.0,1
2096,324.0,81,1008.0,1
2096,336.0,76,1014.0,1
2096,336.0,77,1020.0,1
2128,12.0,51,1061.5,1
2128,12.0,52,1068.5,1
2128,78.0,57,732.0,1
2128,96.0,57,678.0,1
2128,114.0,59,722.0,1
2128,144.0,62,925.0,1
2128,204.0,76,892.0,1
2128,204.0,77,899.0,1
2128,222.0,61,606.0,1
2128,228.0,57,543.0,1
2128,282.0,58,514.0,1
2128,354.0,56,856.5,1
2128,354.0,57,864.5,1
2128,354.0,58,882.5,1
2160,24.0,87,1088.0,1
2160,60.0,52,726.0,1
2160,138.0,53,885.0,1
2160,150.0,68,972.0,1
2160,222.0,57,614.0,1
2160,222.0,58,622.0,1
2160,222.0,59,639.0,1
2160,312.0,82,1180.0,1
2160,318.0,85,1182.0,1
2160,336.0,90,1071.0,1
2160,342.0,87,1047.0,1
2160,342.0,88,1058.0,1
2160,354.0,61,889.0,1
2192,24.0,62,1069.0,1
2192,24.0,63,1082.0,1
2192,66.0,62,771.0,1
2192,204.0,72,896.0,1
2192,204.0,73,907.0,1
2192,210.0,66,899.5,1
2192,258.0,51,466.5,1
2192,270.0,48,465.5,1
2192,294.0,62,692.0,1
2192,318.0,88,1197.0,1
2192,354.0,52,899.5,1
2224,6.0,50,1010.0,1
2224,18.0,61,1096.0,1
2224,36.0,52,940.0,1
2224,312.0,95,1185.0,1
2224,312.0,96,1196.0,1
2256,0.0,50,945.0,1
2256,6.0,55,987.0,1
2256,6.0,56,995.0,1
2256,48.0,61,810.0,2
2256,144.0,62,900.0,1
2256,150.0,64,987.0,1
2256,156.0,58,1058.0,1
2256,168.0,60,1286.0,1
2256,168.0,61,1293.0,1
2256,228.0,59,571.0,2
2256,264.0,54,470.0,1
2256,324.0,92,1133.0,1
2256,330.0,83,1063.0,1
2256,330.0,84,1072.0,1
2256,348.0,65,840.0,1
2288,6.0,47,976.0,1
2288,6.0,48,982.0,1
2288,6.0,49,989.0,1
2288,12.0,57,1037.0,1
2288,12.0,58,1046.0,1
2288,18.0,63,1092.0,1
2288,18.0,64,1101.0,1
2288,48.0,62,811.0,1
2288,60.0,62,812.0,1
2288,60.0,63,826.0,1
2288,132.0,61,703.0,1
2288,150.0,72,987.5,1
2288,150.0,73,1013.5,1
2288,174.0,65,1264.5,1
2288,228.0,59,584.0,2
2288,294.0,62,701.0,1
2288,318.0,84,1154.0,1
2288,318.0,85,1171.0,1
2288,348.0,58,844.0,1
2288,354.0,52,864.0,1
2288,354.0,53,876.0,1
2288,354.0,54,882.0,1
2320,18.0,56,1114.0,1
2320,24.0,69,1139.5,1
2320,24.0,70,1146.5,1
2320,54.0,58,785.0,1
2320,60.0,65,901.5,1
2320,90.0,64,652.0,1
2320,138.0,56,714.0,1
2320,138.0,57,721.0,1
2320,138.0,58,728.0,1
2320,138.0,59,735.0,1
2320,138.0,60,748.0,1
2320,186.0,63,1321.0,1
2320,216.0,62,703.0,1
2320,216.0,63,716.0,1
2320,246.0,56,525.0,1
2320,282.0,58,526.0,1
2320,288.0,59,589.0,1
2320,336.0,66,879.0,1
2320,336.0,67,885.0,1
2320,336.0,68,896.0,2
2352,12.0,54,1138.5,1
2352,30.0,72,1072.5,1
2352,252.0,45,510.0,1
2352,294.0,68,812.0,1
2352,330.0,66,883.0,1
2352,336.0,68,887.5,2
2352,336.0,69,896.5,1
2384,54.0,60,864.0,1
2384,168.0,74,1358.0,1
2384,246.0,56,546.0,1
2384,252.0,57,533.5,1
2384,276.0,56,544.5,1
2384,288.0,61,679.0,1
2384,330.0,65,858.5,1
2416,0.0,51,1026.0,1
2416,24.0,72,1134.5,1
2416,30.0,65,1038.0,1
2416,36.0,68,914.0,1
2416,36.0,69,923.0,1
2416,36.0,70,934.0,1
2416,36.0,71,944.0,1
2416,36.0,72,953.0,1
2416,36.0,73,961.0,1
2416,42.0,67,844.0,1
2416,84.0,76,781.0,1
2416,84.0,77,787.0,1
2416,144.0,72,841.0,1
2416,180.0,60,1286.5,1
2416,228.0,63,630.0,1
2416,240.0,55,598.0,1
2416,270.0,61,517.0,1
2416,300.0,75,1028.0,1
2416,324.0,60,1031.0,1
2448,96.0,65,780.0,1
2448,210.0,65,875.5,1
2448,306.0,89,1128.0,1
2448,336.0,61,925.0,1
2448,336.0,62,935.0,1
2480,6.0,70,1145.0,1
2480,24.0,69,1053.0,1
2480,24.0,70,1059.0,1
2480,24.0,72,1080.0,1
2480,138.0,62,728.0,1
2480,276.0,62,572.0,1
2480,288.0,65,720.0,1
2480,312.0,80,1141.0,1
2480,312.0,81,1150.0,1
2480,324.0,78,1063.0,1
2480,336.0,72,961.0,1
2480,354.0,69,962.0,1
2480,354.0,70,977.0,1
2512,6.0,62,1167.5,1
2512,6.0,63,1181.5,1
2512,6.0,64,1187.5,1
2512,12.0,66,1206.5,1
2512,138.0,56,739.0,1
2512,138.0,57,748.0,1
2512,138.0,58,757.0,1
2512,138.0,59,768.0,1
2512,144.0,64,790.0,1
2512,168.0,74,1322.0,1
2512,240.0,65,651.0,1
2512,246.0,63,603.0,1
2512,264.0,67,556.5,1
2512,282.0,71,618.5,1
2544,144.0,62,834.0,1
2544,186.0,70,1288.5,1
2544,186.0,71,1298.5,1
2544,186.0,72,1305.5,1
2544,186.0,73,1314.5,1
2544,186.0,74,1325.5,1
2544,186.0,75,1338.5,1
2544,186.0,76,1347.5,1
2544,246.0,73,614.0,1
2544,252.0,65,593.0,2
2544,258.0,65,581.0,2
2544,318.0,77,1118.5,1
2544,330.0,80,1049.0,1
2544,330.0,81,1075.0,1
2576,126.0,78,801.0,1
2576,168.0,86,1269.5,1
2576,216.0,65,846.0,1
2576,312.0,78,1115.0,1
2576,312.0,79,1123.0,1
2576,318.0,84,1117.5,1
2576,330.0,86,1100.0,1
2576,336.0,75,1026.0,1
2576,336.0,76,1040.0,1
2608,168.0,82,1268.0,1
2608,216.0,62,851.0,1
2608,246.0,61,656.0,1
2608,294.0,65,765.0,1
2608,294.0,66,771.0,1
2608,318.0,81,1147.0,1
2608,336.0,72,1040.0,1
2608,336.0,73,1052.0,1
2640,12.0,97,1300.0,1
2640,12.0,98,1306.0,1
2640,156.0,79,1073.0,1
2640,156.0,80,1081.0,1
2640,162.0,69,1061.0,1
2640,168.0,62,1284.0,1
2640,294.0,67,829.0,1
2640,318.0,84,1116.0,1
2640,330.0,73,1116.0,1
2672,42.0,84,912.0,1
2672,336.0,59,1137.0,1
2672,336.0,60,1148.0,1
2672,342.0,64,1119.0,1
2704,30.0,93,1064.0,1
2704,114.0,75,783.0,2
2704,120.0,75,796.0,2
2704,120.0,76,802.0,1
2704,132.0,78,835.0,1
2704,174.0,81,1326.0,1
2704,300.0,72,931.0,1
2704,348.0,63,1144.0,1
2704,348.0,64,1168.0,1
2736,30.0,84,1050.0,1
2736,30.0,85,1056.0,1
2736,30.0,86,1065.0,1
2736,30.0,87,1073.0,1
2736,132.0,79,849.0,1
2736,168.0,77,1250.0,1
2736,216.0,60,867.5,1
2736,222.0,72,814.0,1
2736,300.0,59,889.0,1
2736,300.0,60,907.0,1
2736,312.0,59,1001.5,1
2736,318.0,66,1046.0,1
2736,318.0,67,1054.0,1
2736,318.0,68,1061.0,1
2768,30.0,93,1062.0,1
2768,30.0,94,1076.0,1
2768,120.0,72,799.0,1
2768,138.0,83,879.0,1
2768,168.0,73,1236.0,1
2768,306.0,73,932.0,1
2768,354.0,77,1224.0,1
2800,12.0,82,1305.0,1
2800,24.0,92,1129.0,1
2800,24.0,93,1139.0,1
2800,48.0,79,901.5,1
2800,108.0,72,771.0,1
2800,198.0,88,1247.0,1
2800,318.0,76,1024.0,1
2800,336.0,72,1134.0,1
2800,336.0,73,1147.0,1
2800,348.0,71,1198.0,1
2832,126.0,67,794.0,1
2832,144.0,86,929.0,1
2832,144.0,87,935.0,1
2832,150.0,79,892.0,1
2832,300.0,68,848.5,1
2832,318.0,59,902.0,1
2832,318.0,60,911.0,1
2832,324.0,57,1054.0,1
2864,24.0,73,1192.0,2
2864,48.0,76,913.0,1
2864,144.0,78,914.0,1
2864,144.0,79,924.0,1
2864,264.0,52,625.5,1
2864,264.0,53,637.5,1
2864,288.0,47,625.5,1
2864,312.0,61,872.0,1
2864,324.0,71,1051.0,1
2896,12.0,89,1339.5,1
2896,24.0,73,1185.0,2
2896,66.0,80,890.0,1
2896,66.0,81,896.0,1
2896,150.0,76,967.0,1
2896,294.0,53,648.0,1
2896,294.0,54,654.0,1
2896,324.0,68,991.5,1
2896,324.0,69,1005.5,1
2896,324.0,70,1028.5,1
2928,18.0,81,1284.0,1
2928,66.0,86,911.0,1
2928,144.0,81,935.0,1
2928,258.0,54,630.0,1
2928,282.0,59,591.0,1
2928,288.0,50,597.0,1
2928,300.0,52,647.0,1
2928,306.0,55,701.0,1
2928,306.0,56,707.0,1
2928,324.0,64,983.0,2
2928,324.0,65,996.0,1
2960,54.0,79,930.5,2
2960,60.0,83,918.0,1
2960,84.0,72,828.0,1
2960,210.0,67,1062.0,1
2960,252.0,54,690.0,1
2960,264.0,50,637.0,1
2960,282.0,52,604.0,1
2960,282.0,53,613.0,1
2960,312.0,66,780.0,1
2960,324.0,64,996.0,2
2992,54.0,79,910.0,2
2992,60.0,75,896.0,1
2992,216.0,64,864.0,1
2992,216.0,65,872.0,1
2992,216.0,66,880.0,1
3024,0.0,54,1179.5,1
3024,0.0,55,1186.5,1
3024,48.0,78,916.5,1
3024,54.0,82,928.5,2
3024,60.0,83,916.0,1
3024,324.0,55,953.0,1
3024,324.0,56,964.0,1
3056,30.0,65,1008.0,1
3056,48.0,73,924.0,1
3056,54.0,82,936.0,2
3056,60.0,88,923.0,1
3056,162.0,86,1101.5,1
3056,174.0,80,1233.5,1
3056,198.0,83,1236.0,1
3056,216.0,68,929.0,1
3056,216.0,69,939.0,1
3056,306.0,47,727.0,1
3056,318.0,60,834.0,1
3056,318.0,61,844.0,1
3056,324.0,68,938.0,1
3056,324.0,69,950.0,1
3056,354.0,50,1171.0,1
3088,24.0,78,1129.0,1
3088,30.0,61,1004.0,1
3088,48.0,78,955.0,2
3088,54.0,82,930.0,2
3088,60.0,82,908.0,2
3088,60.0,83,915.0,1
3088,78.0,72,836.0,1
3088,120.0,67,777.5,1
3088,126.0,65,795.5,1
3088,240.0,42,739.0,1
3088,342.0,62,1000.0,1
3088,342.0,63,1010.0,1
3088,348.0,51,1108.0,1
3088,348.0,52,1114.0,1
3120,48.0,78,978.0,2
3120,54.0,93,953.0,2
3120,54.0,94,959.0,2
3120,60.0,93,925.0,2
3120,60.0,94,937.0,2
3120,120.0,72,790.0,1
3120,126.0,75,806.0,1
3120,342.0,53,995.0,1
3120,342.0,54,1011.0,1
3152,126.0,81,818.0,1
3152,126.0,82,825.0,1
3152,162.0,76,1043.0,1
3152,198.0,76,1205.0,1
3152,198.0,77,1215.0,1
3152,264.0,53,652.0,1
3152,264.0,54,658.0,1
3152,342.0,57,1001.0,1
3184,126.0,79,799.5,1
3184,162.0,72,1009.0,1
3184,240.0,51,756.0,1
3184,240.0,52,764.0,1
3216,6.0,67,1276.0,1
3216,18.0,76,1316.0,1
3216,144.0,75,905.0,1
3216,240.0,55,747.0,1
3216,270.0,49,651.0,1
3216,276.0,50,593.0,1
3216,282.0,54,614.0,1
3216,282.0,55,629.0,1
3216,282.0,56,639.0,1
3216,288.0,44,620.0,1
3216,288.0,45,626.0,1
3216,330.0,60,872.0,1
3248,0.0,66,1170.0,1
3248,66.0,82,913.0,1
3248,66.0,83,921.0,1
3248,168.0,74,1074.0,1
3248,198.0,60,1198.0,1
3248,198.0,61,1212.0,1
3248,234.0,51,737.0,1
3248,234.0,52,748.0,1
3248,264.0,48,643.0,1
